commit	r5	mc	status	description
(baseline)	0.7724	0.293	keep	EXP-000 baseline — LoCoMo pipeline on entity bench
(baseline)	0.7805	0.276	keep	EXP-001 temporal metadata prefix (+0.008 R@5, CPU only)
e2c2a65f	0.732	0.415	keep	EXP-002 entity state aggregation (+12.2pp MC, −4.8pp R@5)
(no commit)	0.780	0.276	discard	EXP-002b temporal boost post-CE (R@5 unchanged)
e033c607	0.724	0.382	keep	EXP-003 delta+contradiction chunks (retrieval improved, MC eval bottleneck)
fcb3ca97	0.724	0.919	keep	EXP-004 LLM MC judge BREAKTHROUGH (+62.6pp MC, target ✅)
f1384632	0.724	0.919	discard	EXP-005 entity retrieval boost (FALSIFIED — CE demotes correctly)
b4de627f	0.715	0.919	discard	EXP-006 BM25 hybrid global (FALSIFIED −0.9pp R@5)
2856ab8a	0.447	0.919	discard	EXP-007 chunk window=3 CATASTROPHIC (−27.7pp R@5)
3f3c6505	0.691	0.902	discard	EXP-008 retrieval_top_k=100 (FALSIFIED −3.3pp)
7db751d4	0.7805	0.886	keep	EXP-009 Haiku LLM reranker NEW RECORD (+5.6pp)
7db751d4	0.7724	0.854	discard	EXP-009b Haiku+CoT (−0.8pp vs non-CoT)
383842cb	0.7642	0.886	discard	EXP-010 dual-index w=1+w=3 (FALSIFIED −1.6pp)
b8033e29	0.7805	0.902	keep	EXP-011 evidence-aware R@5 eval (AR@5=0.845, true ceiling)
dc3c638b	0.715	0.902	discard	EXP-012 entity relationship chunks (FALSIFIED −6.5pp)
25ab5eb5	0.780	0.902	discard	EXP-013 peripheral tier-3 injection (NULL — 0 triggers)
2c815821	0.764	0.886	discard	EXP-014 all-tier entity injection (FALSIFIED −1.6pp)
aa5eaea6	0.797	0.894	keep	EXP-015 query-type routing PARTIAL (+1.7pp, peripheral −7.7pp)
3f5a049f	0.821	0.886	keep	EXP-016 synthetic budget cap + BM25 peripheral NEW RECORD (+23pp peripheral)
aa7d8b44	0.854	0.789	keep	EXP-017 optimal combo no state/delta + routing NEW RECORD
cc8a12ed	0.837	0.813	discard	EXP-018 targeted reranker expansion (FALSIFIED −1.7pp)
0bf6a153	0.821	0.821	discard	EXP-019 bulk entity extraction (FALSIFIED −3.3pp, extraction F1=0.660 works)
913776cd	0.862	0.821	keep	EXP-020 entity register NEW RECORD (+0.8pp, relationship +5.6pp)
(uncommitted)	0.8378	0.8211	discard	unnamed experiment
a62e7b28	0.8293	0.8293	discard	EXP-180 HyDE query embedding — hallucinated hypothetical answers mis
(uncommitted)	0.8455	0.8211	discard	EXP-182 Multi-query keyword variant retrieval**
(uncommitted)	0.8699	0.8130	discard	EXP-185 BM25+Dense hybrid for relationship routing**
